id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
450,,La Arrolladora Banda El Limón De Rene Camacho,73,4.09,6.34,7.42,10
451,,Destiny's Child,70,3.27,6.68,14.15,10
452,,Tulus,74,2.16,13.20,9.33,10
453,,CNCO,67,3.75,9.93,7.03,10
454,,Disclosure,71,5.36,2.14,14.47,10
455,,AP Dhillon,78,2.63,4.20,16.54,10
456,,Blake Shelton,69,3.47,7.25,8.87,10
457,,KISS,70,2.85,8.89,13.15,10
458,,James Bay,68,4.57,3.96,11.48,10
459,,Dan + Shay,71,4.35,3.06,13.38,10
460,,Tanishk Bagchi,76,2.98,3.40,20.60,10
461,,Zac Brown Band,72,3.79,3.70,11.30,10
462,,George Michael,71,3.30,4.42,16.79,10
463,,EXO,72,3.28,9.80,6.12,10
464,,(G)I-DLE,75,2.50,7.21,11.11,10
465,,Kevin Gates,71,5.03,6.04,5.96,10
466,,YG,72,4.45,3.16,11.14,10
467,,Lynyrd Skynyrd,71,3.13,4.83,16.39,10
468,,Lunay,68,3.36,8.87,9.72,10
469,,girl in red,72,3.11,6.28,12.99,10
470,,Yeat,80,3.39,3.06,11.99,10
471,,Bob Dylan,69,3.82,6.26,9.55,10
472,,YOASOBI,76,2.64,6.32,9.63,10
473,,Foster The People,69,3.92,3.77,13.54,10
474,,Van Halen,71,3.01,5.60,13.83,10
475,,The Cranberries,72,3.11,3.61,17.01,10
476,,Rema,77,2.39,3.11,32.14,10
477,,Weezer,72,3.64,3.21,14.43,10
478,,Cage The Elephant,71,3.93,3.37,13.61,10
479,,Madison Beer,71,2.97,5.89,14.48,10
480,,Mau y Ricky,69,3.36,6.79,12.38,10
481,,Marco Antonio Solís,73,3.00,6.67,10.16,10
482,,Jess Glynne,70,4.97,3.03,10.22,10
483,,LANY,71,3.98,5.64,8.53,10
484,,Ski Mask The Slump God,72,3.70,5.53,9.32,10
485,,KHEA,73,3.34,5.23,10.49,10
486,,Bon Iver,74,3.47,3.48,15.48,10
487,,Lenny Tavárez,76,4.03,2.27,14.55,10
488,,Outkast,73,4.03,2.35,21.04,10
489,,Limp Bizkit,73,3.28,5.34,13.76,10
490,,T-Pain,75,2.99,4.50,11.70,10
491,,PinkPantheress,76,2.14,2.38,25.20,9
492,,JVKE,77,2.10,3.06,24.72,9
493,,Noriel,73,2.53,7.37,9.18,9
494,,Chayanne,71,2.33,7.52,12.09,9
495,,Tim McGraw,71,3.52,4.47,9.73,9
496,,The Game,70,3.22,4.81,12.72,9
497,,MARINA,71,3.51,4.90,9.68,9
498,,V,82,1.14,15.13,12.04,9
499,,Jimin,82,1.89,6.51,8.96,9
500,,Fetty Wap,68,4.29,4.56,8.87,9
501,,El Fantasma,71,3.22,5.92,9.53,9
502,,Tears For Fears,73,2.49,3.05,20.22,9
503,,Papa Roach,70,3.42,4.93,11.52,9
504,,Ice Spice,81,1.55,1.95,40.35,9
505,,Armaan Malik,71,1.38,19.21,14.38,9
506,,Baby Keem,76,3.23,1.68,17.29,9
507,,Moneybagg Yo,75,2.85,3.99,11.22,9
508,,The Beach Boys,70,3.33,4.26,12.12,9
509,,Mark Ronson,72,4.06,1.04,22.55,9
510,,Gera MX,74,2.96,4.44,10.01,9
511,,Jimi Hendrix,68,3.02,6.36,9.13,9
512,,Carrie Underwood,70,2.76,5.89,10.78,9
513,,Matuê,74,2.59,9.16,7.26,9
514,,TOTO,71,3.22,2.72,20.31,9
515,,Paul McCartney,69,3.28,4.53,11.60,9
516,,Aitana,73,3.32,2.76,13.33,9
517,,ENHYPEN,76,2.24,6.44,9.30,9
518,,T.I.,72,3.14,4.68,10.80,9
519,,Gustavo Mioto,75,2.28,5.47,12.08,9
520,,Skillet,71,3.68,4.82,7.81,9
521,,Trey Songz,68,3.59,7.45,7.65,9
522,,Eric Clapton,69,3.20,5.53,11.99,9
