id,track_name,artist,duration_ms,popularity,release_date,year
387,Pocketful of Sunshine,Natasha Bedingfield,202906,73,2007-04-27,2007
388,Bleeding Love,Leona Lewis,262466,78,2007-01-01,2007
389,Bubbly,Colbie Caillat,196280,70,2007-01-01,2007
390,Love Song,Sara Bareilles,258826,75,2007-07-03,2007
391,Girlfriend,Avril Lavigne,216600,77,2007-04-17,2007
392,Jigsaw Falling Into Place,Radiohead,248893,76,2007-12-28,2007
393,Gunpowder & Lead,Miranda Lambert,191693,69,2007-05-01,2007
394,"Check Yes, Juliet",We The Kings,220146,70,2007-10-07,2007
395,Time to Pretend,MGMT,261000,74,2007-12-14,2007
396,Because Of You,Ne-Yo,266840,77,2007-01-01,2007
397,Come On Get Higher,Matt Nathanson,215173,70,2007-01-01,2007
398,Let It Go,"Keyshia Cole, Missy Elliott, Lil' Kim",238333,68,2007-01-01,2007
399,Weird Fishes/ Arpeggi,Radiohead,318186,74,2007-12-28,2007
400,crushcrushcrush,Paramore,189373,67,2007-06-11,2007
401,Heartless,Kanye West,211000,88,2008-11-24,2008
402,Viva La Vida,Coldplay,242373,88,2008-05-26,2008
403,Chicken Fried,Zac Brown Band,238146,81,2008-11-17,2008
404,"You're Gonna Go Far, Kid",The Offspring,177826,84,2008-06-17,2008
405,Poker Face,Lady Gaga,237200,79,2008-01-01,2008
406,Walking On A Dream,Empire of the Sun,198440,82,2008-10-03,2008
407,Sex on Fire,Kings of Leon,203346,84,2008-09-23,2008
